id_cliente,cliente,correo,ciudad,correo_valido
CL100,Comercial Díaz 0,cliente065@empresa.com,Santa Ana,True
CL101,Grupo Ideal 1,cliente131@correo.sv,San Salvador,True
CL102,Grupo Ideal 2,cliente211@empresa.com,San Miguel,True
CL103,Almacenes Prado 3,cliente329@gmail.com,Santa Ana,True
CL104,Soluciones Cr 4,cliente441@gmail.com,La Libertad,True
CL105,Distribuciones Luna 5,cliente592@empresa.com,Santa Ana,True
CL106,Grupo Ideal 6,cliente619@outlook.com,San Salvador,True
CL107,Almacenes Prado 7,cliente75@empresa.com,San Salvador,True
CL108,Empresa Nova 8,cliente861@outlook.com,Santa Ana,True
CL109,Distribuciones Luna 9,cliente998@correo.sv,La Libertad,True
CL110,Grupo Ideal 10,cliente1058@gmail.com,La Libertad,True
CL111,Tienda Central 11,cliente1111@gmail.com,La Libertad,True
CL112,Importadora Del Valle 12,cliente1233@outlook.com,San Salvador,True
CL113,Grupo Ideal 13,cliente1320@correo.sv,Santa Ana,True
CL114,Distribuciones Luna 14,cliente1415@empresa.com,San Miguel,True
CL116,Servicios Alfa 16,cliente1616@gmail.com,La Libertad,True
CL117,Empresa Nova 17,cliente1731@correo.sv,Santa Ana,True
CL119,Comercial Díaz 19,cliente199@gmail.com,San Miguel,True
CL120,Importadora Del Valle 20,cliente2064@gmail.com,La Libertad,True
CL121,Comercial Díaz 21,cliente2181@outlook.com,La Libertad,True
CL122,Almacenes Prado 22,cliente2292@outlook.com,San Miguel,True
CL123,Servicios Alfa 23,cliente2338@correo.sv,Santa Ana,True
CL124,Empresa Nova 24,cliente241@empresa.com,San Salvador,True
CL125,Tienda Central 25,cliente2531@correo.sv,Santa Ana,True
CL126,Distribuciones Luna 26,cliente2624@gmail.com,San Miguel,True
CL127,Distribuciones Luna 27,cliente2768@empresa.com,La Libertad,True
CL128,Almacenes Prado 28,cliente289@gmail.com,Santa Ana,True
CL129,Almacenes Prado 29,cliente2950@correo.sv,San Salvador,True
CL130,Grupo Ideal 30,cliente306@correo.sv,San Miguel,True
CL131,Servicios Alfa 31,cliente3148@empresa.com,Santa Ana,True
CL132,Importadora Del Valle 32,cliente3296@gmail.com,San Salvador,True
CL133,Importadora Del Valle 33,cliente3346@gmail.com,San Miguel,True
CL134,Mundo Hogar 34,cliente3445@outlook.com,San Salvador,True
CL135,Soluciones Cr 35,cliente3594@gmail.com,San Miguel,True
CL137,Importadora Del Valle 37,cliente3718@gmail.com,Santa Ana,True
CL138,Grupo Ideal 38,cliente3846@empresa.com,San Salvador,True
CL139,Empresa Nova 39,cliente3983@outlook.com,San Miguel,True
CL141,Comercial Díaz 41,cliente4190@correo.sv,San Salvador,True
CL142,Importadora Del Valle 42,cliente4281@outlook.com,Santa Ana,True
CL143,Comercial Díaz 43,cliente4318@gmail.com,La Libertad,True
CL144,Almacenes Prado 44,cliente4492@correo.sv,San Salvador,True
CL145,Soluciones Cr 45,cliente455@empresa.com,San Miguel,True
CL146,Mundo Hogar 46,cliente4626@gmail.com,San Miguel,True
CL147,Mundo Hogar 47,cliente4726@gmail.com,La Libertad,True
CL148,Grupo Ideal 48,cliente4841@empresa.com,San Miguel,True
CL149,Servicios Alfa 49,cliente4966@correo.sv,La Libertad,True
CL150,Importadora Del Valle 50,cliente5070@correo.sv,San Miguel,True
CL151,Comercial Díaz 51,cliente5133@gmail.com,Santa Ana,True
CL153,Servicios Alfa 53,cliente5337@empresa.com,Santa Ana,True
CL154,Importadora Del Valle 54,cliente547@empresa.com,San Salvador,True
CL155,Mundo Hogar 55,cliente5535@gmail.com,San Salvador,True
CL156,Soluciones Cr 56,cliente5648@correo.sv,San Salvador,True
CL157,Servicios Alfa 57,cliente5752@correo.sv,Santa Ana,True
CL158,Grupo Ideal 58,cliente5850@empresa.com,San Salvador,True
CL159,Comercial Díaz 59,cliente5924@correo.sv,Santa Ana,True
CL160,Mundo Hogar 60,cliente6089@correo.sv,La Libertad,True
CL161,Almacenes Prado 61,cliente6148@empresa.com,San Miguel,True
CL163,Importadora Del Valle 63,cliente6311@correo.sv,San Salvador,True
CL164,Servicios Alfa 64,cliente6478@outlook.com,Santa Ana,True
CL165,Almacenes Prado 65,cliente6570@empresa.com,San Miguel,True
CL166,Comercial Díaz 66,cliente6642@gmail.com,Santa Ana,True
CL167,Soluciones Cr 67,cliente6711@empresa.com,Santa Ana,True
CL168,Almacenes Prado 68,cliente6885@empresa.com,San Salvador,True
CL169,Importadora Del Valle 69,cliente6940@correo.sv,San Miguel,True
CL170,Empresa Nova 70,cliente7078@correo.sv,San Salvador,True
CL171,Importadora Del Valle 71,cliente7122@correo.sv,San Salvador,True
CL172,Mundo Hogar 72,cliente7245@correo.sv,San Miguel,True
CL173,Servicios Alfa 73,cliente736@empresa.com,San Miguel,True
CL174,Tienda Central 74,cliente7479@correo.sv,La Libertad,True
CL175,Importadora Del Valle 75,cliente7536@gmail.com,La Libertad,True
CL177,Tienda Central 77,cliente7747@outlook.com,San Miguel,True
CL178,Tienda Central 78,cliente784@outlook.com,La Libertad,True
CL179,Servicios Alfa 79,cliente7978@correo.sv,Santa Ana,True
CL182,Mundo Hogar 82,cliente8283@empresa.com,La Libertad,True
CL183,Comercial Díaz 83,cliente8347@correo.sv,San Miguel,True
CL184,Almacenes Prado 84,cliente8473@gmail.com,San Salvador,True
CL185,Almacenes Prado 85,cliente8578@outlook.com,Santa Ana,True
CL186,Almacenes Prado 86,cliente8687@correo.sv,La Libertad,True
CL189,Grupo Ideal 89,cliente8974@outlook.com,San Salvador,True
CL190,Servicios Alfa 90,cliente9068@empresa.com,La Libertad,True
CL191,Grupo Ideal 91,cliente9151@empresa.com,San Miguel,True
CL192,Soluciones Cr 92,cliente9284@empresa.com,San Salvador,True
CL193,Servicios Alfa 93,cliente9332@gmail.com,La Libertad,True
CL194,Servicios Alfa 94,cliente944@outlook.com,San Salvador,True
CL195,Servicios Alfa 95,cliente9564@correo.sv,San Miguel,True
CL196,Grupo Ideal 96,cliente9672@gmail.com,Santa Ana,True
CL197,Servicios Alfa 97,cliente9734@empresa.com,San Salvador,True
CL198,Distribuciones Luna 98,cliente9891@correo.sv,San Miguel,True
CL199,Empresa Nova 99,cliente9928@empresa.com,La Libertad,True
CL200,Soluciones Cr 100,cliente10089@correo.sv,San Salvador,True
CL201,Importadora Del Valle 101,cliente10126@gmail.com,San Salvador,True
CL204,Grupo Ideal 104,cliente10492@correo.sv,La Libertad,True
CL205,Mundo Hogar 105,cliente10512@empresa.com,San Salvador,True
CL207,Tienda Central 107,cliente10791@gmail.com,San Miguel,True
CL208,Almacenes Prado 108,cliente10871@empresa.com,La Libertad,True
CL209,Tienda Central 109,cliente10939@outlook.com,San Salvador,True
CL210,Mundo Hogar 110,cliente11092@outlook.com,La Libertad,True
CL211,Distribuciones Luna 111,cliente11147@outlook.com,Santa Ana,True
CL213,Importadora Del Valle 113,cliente11318@outlook.com,Santa Ana,True
CL214,Grupo Ideal 114,cliente11464@gmail.com,San Miguel,True
CL215,Distribuciones Luna 115,cliente11547@empresa.com,Santa Ana,True
CL217,Mundo Hogar 117,cliente11779@gmail.com,San Salvador,True
CL219,Almacenes Prado 119,cliente11951@correo.sv,San Miguel,True
CL220,Almacenes Prado 120,cliente12068@correo.sv,Santa Ana,True
CL221,Soluciones Cr 121,cliente12199@correo.sv,Santa Ana,True
CL222,Servicios Alfa 122,cliente12274@gmail.com,Santa Ana,True
CL224,Grupo Ideal 124,cliente12483@gmail.com,La Libertad,True
CL225,Servicios Alfa 125,cliente12558@correo.sv,Santa Ana,True
CL226,Mundo Hogar 126,cliente12688@empresa.com,Santa Ana,True
CL227,Empresa Nova 127,cliente12717@outlook.com,San Salvador,True
CL228,Distribuciones Luna 128,cliente12899@outlook.com,San Miguel,True
CL229,Importadora Del Valle 129,cliente12956@gmail.com,Santa Ana,True
CL230,Almacenes Prado 130,cliente13016@outlook.com,San Miguel,True
CL231,Comercial Díaz 131,cliente13139@outlook.com,Santa Ana,True
CL232,Almacenes Prado 132,cliente13221@empresa.com,La Libertad,True
CL233,Comercial Díaz 133,cliente13391@outlook.com,La Libertad,True
CL234,Mundo Hogar 134,cliente13445@empresa.com,Santa Ana,True
CL235,Comercial Díaz 135,cliente13511@empresa.com,La Libertad,True
CL236,Servicios Alfa 136,cliente13626@empresa.com,Santa Ana,True
CL237,Mundo Hogar 137,cliente13717@empresa.com,La Libertad,True
CL238,Distribuciones Luna 138,cliente13879@gmail.com,San Salvador,True
CL239,Almacenes Prado 139,cliente13965@outlook.com,San Salvador,True
CL240,Servicios Alfa 140,cliente14076@outlook.com,San Salvador,True
CL241,Soluciones Cr 141,cliente14122@empresa.com,San Miguel,True
CL242,Comercial Díaz 142,cliente14273@gmail.com,San Miguel,True
CL243,Tienda Central 143,cliente1434@gmail.com,San Salvador,True
CL244,Distribuciones Luna 144,cliente1446@empresa.com,San Miguel,True
CL245,Importadora Del Valle 145,cliente14584@outlook.com,La Libertad,True
CL246,Empresa Nova 146,cliente14699@correo.sv,Santa Ana,True
CL247,Soluciones Cr 147,cliente14780@gmail.com,Santa Ana,True
CL248,Empresa Nova 148,cliente14864@empresa.com,Santa Ana,True
CL249,Soluciones Cr 149,cliente14983@empresa.com,San Salvador,True
